LL notch,0,0.0137
LL notch,0,0.0366
UL notch,-0.4,0.527
UL notch,13.11,13.1092
UR notch,383.377,383.818
UR notch,13.11,12.9807
LR notch,383.777,383.5134
LR notch,0,0.0185
Lower V LL,10.3,10.3243
Lower V LL,-2.45,-2.4699
Lower V UL,10.3,10.2484
Lower V UL,5.55,5.3307
Lower V LR,373.9,373.7884
Lower V LR,-2.45,-2.132
Lower V UR,373.9,373.7499
Lower V UR,5.55,5.6938
Upper V LL,10.3,10.3136
Upper V LL,7.55,7.5071
Upper V UL,10.3,10.2471
Upper V UL,15.55,15.6098
Upper V LR,373.9,373.8869
Upper V LR,7.55,7.6136
Upper V UR,373.9,373.7402
Upper V UR,15.5,15.7393
UR tap,386.927,386.7145
UR tap,13.11,12.8698
LR tap,386.927,386.7844
LR tap,0,0.0518
LL tap,-3.55,-3.0584
LL tap,0,0.1853
UL tap,-3.55,-3.0345
UL tap,13.11,13.0328
Lower V LF,10.3,10.3216
Lower V LF,-0.45,-0.3885
Lower V UF,10.3,10.3087
Lower V UF,3.55,3.3
Lower V LFR,373.9,373.7828
Lower V LFR,-0.45,-0.1389
Lower V UFR,373.9,373.7804
Lower V UFR,3.55,3.5647
Upper V LFL,10.3,10.3106
Upper V LFL,9.55,9.6287
Upper V UFL,10.3,10.3324
Upper V UFL,13.55,13.4999
Upper V LFR,373.9,373.9046
Upper V LFR,9.55,9.6425
Upper V UFR,373.9,373.8531
Upper V UFR,13.55,13.6285
