LL notch,0,0.0144
LL notch,0,0.0348
UL notch,-0.4,0.3934
UL notch,13.11,13.1705
UR notch,383.377,384.2421
UR notch,13.11,13.1709
LR notch,383.777,383.8518
LR notch,0,0.0148
Lower V LL,10.3,10.3079
Lower V LL,-2.45,-1.9484
Lower V UL,10.3,10.4305
Lower V UL,5.55,5.5989
Lower V LR,373.9,373.6016
Lower V LR,-2.45,-2.2358
Lower V UR,373.9,373.533
Lower V UR,5.55,5.5783
Upper V LL,10.3,10.3888
Upper V LL,7.55,8.1339
Upper V UL,10.3,10.3912
Upper V UL,15.55,15.9945
Upper V LR,373.9,373.7524
Upper V LR,7.55,7.7826
Upper V UR,373.9,373.5777
Upper V UR,15.5,15.5371
UR tap,386.927,387.3012
UR tap,13.11,13.1286
LR tap,386.927,387.3521
LR tap,0,0.1261
LL tap,-3.55,-3.07
LL tap,0,0.1088
UL tap,-3.55,-3.0388
UL tap,13.11,13.0688
Lower V LF,10.3,10.3532
Lower V LF,-0.45,-0.2243
Lower V UF,10.3,10.4252
Lower V UF,3.55,4.0234
Lower V LFR,373.9,373.5427
Lower V LFR,-0.45,-0.6388
Lower V UFR,373.9,373.5731
Lower V UFR,3.55,3.893
Upper V LFL,10.3,10.4231
Upper V LFL,9.55,9.7058
Upper V UFL,10.3,10.3946
Upper V UFL,13.55,14.297
Upper V LFR,373.9,373.689
Upper V LFR,9.55,9.3896
Upper V UFR,373.9,373.5352
Upper V UFR,13.55,13.9464
