LL notch,0,0.0316
LL notch,0,-0.0426
UL notch,-0.4,0.3989
UL notch,13.11,13.1208
UR notch,383.377,384.3516
UR notch,13.11,12.9833
LR notch,383.777,384.005
LR notch,0,0.0156
Lower V LL,10.3,10.243
Lower V LL,-2.45,-1.8657
Lower V UL,10.3,10.2345
Lower V UL,5.55,5.8815
Lower V LR,373.9,373.8116
Lower V LR,-2.45,-2.2245
Lower V UR,373.9,373.7801
Lower V UR,5.55,5.5246
Upper V LL,10.3,10.4181
Upper V LL,7.55,8.0327
Upper V UL,10.3,10.149
Upper V UL,15.55,15.828
Upper V LR,373.9,373.6806
Upper V LR,7.55,7.7074
Upper V UR,373.9,373.7719
Upper V UR,15.5,15.5559
UR tap,386.927,387.4481
UR tap,13.11,13
LR tap,386.927,387.5133
LR tap,0,0.1449
LL tap,-3.55,-3.0369
LL tap,0,-0.0438
UL tap,-3.55,-3.15
UL tap,13.11,13.0578
Lower V LF,10.3,10.2026
Lower V LF,-0.45,-0.0245
Lower V UF,10.3,10.2738
Lower V UF,3.55,4.157
Lower V LFR,373.9,373.8212
Lower V LFR,-0.45,-0.4461
Lower V UFR,373.9,373.8129
Lower V UFR,3.55,3.763
Upper V LFL,10.3,10.3956
Upper V LFL,9.55,9.8821
Upper V UFL,10.3,10.2452
Upper V UFL,13.55,14.1384
Upper V LFR,373.9,373.658
Upper V LFR,9.55,9.6371
Upper V UFR,373.9,373.6633
Upper V UFR,13.55,13.7428
