LL notch,0,0.0133
LL notch,0,0.0356
UL notch,-0.4,0.2257
UL notch,13.11,13.0647
UR notch,383.377,383.9311
UR notch,13.11,13.1081
LR notch,383.777,383.3245
LR notch,0,0.0177
Lower V LL,10.3,10.3134
Lower V LL,-2.45,-2.3453
Lower V UL,10.3,10.2272
Lower V UL,5.55,5.7928
Lower V LR,373.9,373.9415
Lower V LR,-2.45,-2.1497
Lower V UR,373.9,373.8314
Lower V UR,5.55,5.8536
Upper V LL,10.3,10.4752
Upper V LL,7.55,7.6277
Upper V UL,10.3,10.3428
Upper V UL,15.55,15.9208
Upper V LR,373.9,373.7918
Upper V LR,7.55,7.8195
Upper V UR,373.9,373.8009
Upper V UR,15.5,15.7692
UR tap,386.927,386.5762
UR tap,13.11,12.8816
LR tap,386.927,386.7167
LR tap,0,0.1101
LL tap,-3.55,-3.0235
LL tap,0,0.1093
UL tap,-3.55,-3.24
UL tap,13.11,13
Lower V LF,10.3,10.2516
Lower V LF,-0.45,-0.1122
Lower V UF,10.3,10.1984
Lower V UF,3.55,3.7041
Lower V LFR,373.9,373.8261
Lower V LFR,-0.45,-0.0036
Lower V UFR,373.9,373.8268
Lower V UFR,3.55,3.6975
Upper V LFL,10.3,10.4843
Upper V LFL,9.55,9.7548
Upper V UFL,10.3,10.2933
Upper V UFL,13.55,13.864
Upper V LFR,373.9,373.7762
Upper V LFR,9.55,9.8935
Upper V UFR,373.9,373.825
Upper V UFR,13.55,13.6947
