LL notch,0,0.0132
LL notch,0,0.0354
UL notch,-0.4,0.3894
UL notch,13.11,13.1496
UR notch,383.377,384.3286
UR notch,13.11,13.088
LR notch,383.777,383.9438
LR notch,0,-0.0557
Lower V LL,10.3,10.3297
Lower V LL,-2.45,-2.0268
Lower V UL,10.3,10.2091
Lower V UL,5.55,6.0015
Lower V LR,373.9,373.5441
Lower V LR,-2.45,-2.306
Lower V UR,373.9,373.5156
Lower V UR,5.55,5.4387
Upper V LL,10.3,10.3072
Upper V LL,7.55,8.0916
Upper V UL,10.3,10.2951
Upper V UL,15.55,15.9655
Upper V LR,373.9,373.5921
Upper V LR,7.55,7.6438
Upper V UR,373.9,373.6026
Upper V UR,15.5,15.3835
UR tap,386.927,387.2975
UR tap,13.11,13.0142
LR tap,386.927,387.4265
LR tap,0,0.1259
LL tap,-3.55,-2.9913
LL tap,0,0.159
UL tap,-3.55,-3.0431
UL tap,13.11,13.0886
Lower V LF,10.3,10.3451
Lower V LF,-0.45,-0.1534
Lower V UF,10.3,10.211
Lower V UF,3.55,4.4048
Lower V LFR,373.9,373.5562
Lower V LFR,-0.45,-0.6016
Lower V UFR,373.9,373.5151
Lower V UFR,3.55,3.7272
Upper V LFL,10.3,10.3683
Upper V LFL,9.55,9.8447
Upper V UFL,10.3,10.3452
Upper V UFL,13.55,14.2932
Upper V LFR,373.9,373.6088
Upper V LFR,9.55,9.327
Upper V UFR,373.9,373.569
Upper V UFR,13.55,13.673
