LL notch,0,-0.0025
LL notch,0,-0.0021
UL notch,-0.4,0.2637
UL notch,13.11,13.0761
UR notch,383.377,384.1675
UR notch,13.11,13.2334
LR notch,383.777,383.7958
LR notch,0,0.0186
Lower V LL,10.3,10.2489
Lower V LL,-2.45,-0.3886
Lower V UL,10.3,10.2658
Lower V UL,5.55,7.3498
Lower V LR,373.9,373.5678
Lower V LR,-2.45,-3.012
Lower V UR,373.9,373.6303
Lower V UR,5.55,4.6995
Upper V LL,10.3,10.3956
Upper V LL,7.55,11.2627
Upper V UL,10.3,10.4923
Upper V UL,15.55,15.2293
Upper V LR,373.9,373.4466
Upper V LR,7.55,9.1865
Upper V UR,373.9,373.4926
Upper V UR,15.5,16.9159
UR tap,386.927,387.168
UR tap,13.11,14.6814
LR tap,386.927,387.284
LR tap,0,1.6616
LL tap,-3.55,-3.0399
LL tap,0,0.389
UL tap,-3.55,-3.0845
UL tap,13.11,13.4092
Lower V LF,10.3,10.3336
Lower V LF,-0.45,1.8361
Lower V UF,10.3,10.3202
Lower V UF,3.55,5.9483
Lower V LFR,373.9,373.5835
Lower V LFR,-0.45,-0.7832
Lower V UFR,373.9,373.5881
Lower V UFR,3.55,3.2046
Upper V LFL,10.3,10.428
Upper V LFL,9.55,12.0258
Upper V UFL,10.3,10.483
Upper V UFL,13.55,16.1737
Upper V LFR,373.9,373.4574
Upper V LFR,9.55,8.9681
Upper V UFR,373.9,373.6089
Upper V UFR,13.55,12.9716
