LL notch,0,0.0136
LL notch,0,0.036
UL notch,-0.4,0.4685
UL notch,13.11,13.1229
UR notch,383.377,384.3544
UR notch,13.11,13.0473
LR notch,383.777,383.8632
LR notch,0,0.0182
Lower V LL,10.3,10.5241
Lower V LL,-2.45,-2.4642
Lower V UL,10.3,10.4873
Lower V UL,5.55,5.951
Lower V LR,373.9,373.8176
Lower V LR,-2.45,-2.3519
Lower V UR,373.9,373.8323
Lower V UR,5.55,5.6362
Upper V LL,10.3,10.4141
Upper V LL,7.55,7.625
Upper V UL,10.3,10.399
Upper V UL,15.55,15.6255
Upper V LR,373.9,374.0132
Upper V LR,7.55,7.6037
Upper V UR,373.9,374.017
Upper V UR,15.5,15.6247
UR tap,386.927,387.3753
UR tap,13.11,12.9976
LR tap,386.927,387.4169
LR tap,0,0.1025
LL tap,-3.55,-2.9612
LL tap,0,0.1312
UL tap,-3.55,-3.0395
UL tap,13.11,13.129
Lower V LF,10.3,10.5625
Lower V LF,-0.45,-0.2791
Lower V UF,10.3,10.4956
Lower V UF,3.55,4.0647
Lower V LFR,373.9,373.7726
Lower V LFR,-0.45,-0.2904
Lower V UFR,373.9,373.8957
Lower V UFR,3.55,3.5548
Upper V LFL,10.3,10.3243
Upper V LFL,9.55,9.7541
Upper V UFL,10.3,10.3907
Upper V UFL,13.55,13.4697
Upper V LFR,373.9,373.9913
Upper V LFR,9.55,9.6746
Upper V UFR,373.9,374.0548
Upper V UFR,13.55,13.4639
