LL notch,0,-0.0118
LL notch,0,-0.1206
UL notch,-0.4,0.3438
UL notch,13.11,13.0032
UR notch,383.377,384.329
UR notch,13.11,13.1431
LR notch,383.777,383.9938
LR notch,0,0.0102
Lower V LL,10.3,10.46
Lower V LL,-2.45,-1.8944
Lower V UL,10.3,10.4492
Lower V UL,5.55,5.9413
Lower V LR,373.9,373.6696
Lower V LR,-2.45,-2.2397
Lower V UR,373.9,373.7386
Lower V UR,5.55,5.6615
Upper V LL,10.3,10.3706
Upper V LL,7.55,7.882
Upper V UL,10.3,10.4258
Upper V UL,15.55,15.8197
Upper V LR,373.9,373.5871
Upper V LR,7.55,7.7907
Upper V UR,373.9,373.6244
Upper V UR,15.5,15.5534
UR tap,386.927,387.2769
UR tap,13.11,13.1091
LR tap,386.927,387.3692
LR tap,0,0.1297
LL tap,-3.55,-3.0978
LL tap,0,-0.0128
UL tap,-3.55,-3.0928
UL tap,13.11,12.9534
Lower V LF,10.3,10.4702
Lower V LF,-0.45,0.0422
Lower V UF,10.3,10.3778
Lower V UF,3.55,4.0972
Lower V LFR,373.9,373.6639
Lower V LFR,-0.45,-0.3768
Lower V UFR,373.9,373.6941
Lower V UFR,3.55,3.8178
Upper V LFL,10.3,10.4601
Upper V LFL,9.55,9.8296
Upper V UFL,10.3,10.4154
Upper V UFL,13.55,14.0291
Upper V LFR,373.9,373.6414
Upper V LFR,9.55,9.5765
Upper V UFR,373.9,373.6823
Upper V UFR,13.55,13.7778
