LL notch,0,0.01
LL notch,0,-0.003
UL notch,-0.4,0.4278
UL notch,13.11,13.0686
UR notch,383.377,384.0642
UR notch,13.11,13.0634
LR notch,383.777,383.678
LR notch,0,0.0108
Lower V LL,10.3,10.3605
Lower V LL,-2.45,-2.4125
Lower V UL,10.3,10.2796
Lower V UL,5.55,5.4683
Lower V LR,373.9,373.7788
Lower V LR,-2.45,-2.8114
Lower V UR,373.9,373.5211
Lower V UR,5.55,5.3238
Upper V LL,10.3,10.4025
Upper V LL,7.55,7.3564
Upper V UL,10.3,10.3542
Upper V UL,15.55,15.6361
Upper V LR,373.9,373.6257
Upper V LR,7.55,7.1879
Upper V UR,373.9,373.65
Upper V UR,15.5,15.2105
UR tap,386.927,387.001
UR tap,13.11,13.0026
LR tap,386.927,386.9949
LR tap,0,0.1149
LL tap,-3.55,-3.0811
LL tap,0,0.1098
UL tap,-3.55,-3.1442
UL tap,13.11,13.0018
Lower V LF,10.3,10.3657
Lower V LF,-0.45,-0.2699
Lower V UF,10.3,10.2257
Lower V UF,3.55,3.4777
Lower V LFR,373.9,373.8346
Lower V LFR,-0.45,-0.6859
Lower V UFR,373.9,373.5094
Lower V UFR,3.55,3.1953
Upper V LFL,10.3,10.381
Upper V LFL,9.55,9.4684
Upper V UFL,10.3,10.3436
Upper V UFL,13.55,13.6687
Upper V LFR,373.9,373.6405
Upper V LFR,9.55,9.1956
Upper V UFR,373.9,373.6079
Upper V UFR,13.55,13.1166
