LL notch,0,0.0039
LL notch,0,0.037
UL notch,-0.4,0.4258
UL notch,13.11,13.113
UR notch,383.377,384.2483
UR notch,13.11,13.0699
LR notch,383.777,383.8973
LR notch,0,0.0243
Lower V LL,10.3,10.436
Lower V LL,-2.45,-1.878
Lower V UL,10.3,10.467
Lower V UL,5.55,6.0066
Lower V LR,373.9,373.6059
Lower V LR,-2.45,-2.2514
Lower V UR,373.9,373.6289
Lower V UR,5.55,5.5938
Upper V LL,10.3,10.3232
Upper V LL,7.55,7.9729
Upper V UL,10.3,10.3415
Upper V UL,15.55,15.9317
Upper V LR,373.9,373.6591
Upper V LR,7.55,7.6085
Upper V UR,373.9,373.6165
Upper V UR,15.5,15.6611
UR tap,386.927,387.0667
UR tap,13.11,12.9943
LR tap,386.927,387.1363
LR tap,0,-0.039
LL tap,-3.55,-3.0254
LL tap,0,0.1115
UL tap,-3.55,-3.1136
UL tap,13.11,13.0996
Lower V LF,10.3,10.4214
Lower V LF,-0.45,0.1046
Lower V UF,10.3,10.467
Lower V UF,3.55,4.1882
Lower V LFR,373.9,373.603
Lower V LFR,-0.45,-0.3779
Lower V UFR,373.9,373.5967
Lower V UFR,3.55,3.7113
Upper V LFL,10.3,10.3314
Upper V LFL,9.55,9.8159
Upper V UFL,10.3,10.3499
Upper V UFL,13.55,14.1468
Upper V LFR,373.9,373.6293
Upper V LFR,9.55,9.5751
Upper V UFR,373.9,373.5544
Upper V UFR,13.55,13.8771
