LL notch,0,0.0145
LL notch,0,0.0361
UL notch,-0.4,0.3941
UL notch,13.11,13.0973
UR notch,383.377,384.3731
UR notch,13.11,13.1716
LR notch,383.777,384.1316
LR notch,0,0.0194
Lower V LL,10.3,10.3013
Lower V LL,-2.45,-1.9928
Lower V UL,10.3,10.1796
Lower V UL,5.55,5.8955
Lower V LR,373.9,373.6926
Lower V LR,-2.45,-2.3496
Lower V UR,373.9,373.6894
Lower V UR,5.55,5.5392
Upper V LL,10.3,10.3578
Upper V LL,7.55,7.9704
Upper V UL,10.3,10.3157
Upper V UL,15.55,15.7982
Upper V LR,373.9,373.6071
Upper V LR,7.55,7.7216
Upper V UR,373.9,373.6114
Upper V UR,15.5,15.509
UR tap,386.927,387.4346
UR tap,13.11,13.0347
LR tap,386.927,387.532
LR tap,0,0.1453
LL tap,-3.55,-2.9925
LL tap,0,0.1102
UL tap,-3.55,-3.0394
UL tap,13.11,12.9532
Lower V LF,10.3,10.2845
Lower V LF,-0.45,-0.1996
Lower V UF,10.3,10.3119
Lower V UF,3.55,4.2665
Lower V LFR,373.9,373.6703
Lower V LFR,-0.45,-0.6469
Lower V UFR,373.9,373.7066
Lower V UFR,3.55,3.8868
Upper V LFL,10.3,10.3376
Upper V LFL,9.55,9.7653
Upper V UFL,10.3,10.3924
Upper V UFL,13.55,14.1768
Upper V LFR,373.9,373.6553
Upper V LFR,9.55,9.422
Upper V UFR,373.9,373.6647
Upper V UFR,13.55,13.821
