LL notch,0,0.0143
LL notch,0,0.0351
UL notch,-0.4,0.3886
UL notch,13.11,13.1221
UR notch,383.377,384.2855
UR notch,13.11,13.1649
LR notch,383.777,383.8705
LR notch,0,0.0307
Lower V LL,10.3,10.2355
Lower V LL,-2.45,-2.0245
Lower V UL,10.3,10.1471
Lower V UL,5.55,6.0239
Lower V LR,373.9,373.6944
Lower V LR,-2.45,-2.3143
Lower V UR,373.9,373.4833
Lower V UR,5.55,5.5842
Upper V LL,10.3,10.2377
Upper V LL,7.55,8.145
Upper V UL,10.3,10.2796
Upper V UL,15.55,16.17
Upper V LR,373.9,373.5504
Upper V LR,7.55,7.7484
Upper V UR,373.9,373.4721
Upper V UR,15.5,15.7159
UR tap,386.927,387.1809
UR tap,13.11,13.0498
LR tap,386.927,387.2835
LR tap,0,0.1333
LL tap,-3.55,-2.9923
LL tap,0,0.1097
UL tap,-3.55,-3.1316
UL tap,13.11,12.9492
Lower V LF,10.3,10.3393
Lower V LF,-0.45,-0.314
Lower V UF,10.3,10.2112
Lower V UF,3.55,4.4674
Lower V LFR,373.9,373.6763
Lower V LFR,-0.45,-0.5494
Lower V UFR,373.9,373.5381
Lower V UFR,3.55,3.8601
Upper V LFL,10.3,10.3071
Upper V LFL,9.55,9.985
Upper V UFL,10.3,10.1597
Upper V UFL,13.55,14.5376
Upper V LFR,373.9,373.4872
Upper V LFR,9.55,9.5314
Upper V UFR,373.9,373.4685
Upper V UFR,13.55,13.9252
