LL notch,0,-0.0083
LL notch,0,0.0382
UL notch,-0.4,0.4226
UL notch,13.11,13.1202
UR notch,383.377,384.4052
UR notch,13.11,13.2273
LR notch,383.777,384.0108
LR notch,0,0.0094
Lower V LL,10.3,10.395
Lower V LL,-2.45,-1.9026
Lower V UL,10.3,10.4014
Lower V UL,5.55,5.8184
Lower V LR,373.9,373.6564
Lower V LR,-2.45,-2.2211
Lower V UR,373.9,373.7051
Lower V UR,5.55,5.569
Upper V LL,10.4071,7.9922
Upper V LL,7.55,6.8148
Upper V UL,10.3,10.4927
Upper V UL,15.55,15.8948
Upper V LR,373.9,373.6697
Upper V LR,7.55,7.9106
Upper V UR,373.9,373.8929
Upper V UR,15.5,15.542
UR tap,386.927,387.4415
UR tap,13.11,13.1322
LR tap,386.927,387.4801
LR tap,0,0.1272
LL tap,-3.55,-2.9654
LL tap,0,0.115
UL tap,-3.55,-3.0376
UL tap,13.11,13.1112
Lower V LF,10.3,10.4724
Lower V LF,-0.45,0.0005
Lower V UF,10.3,10.4529
Lower V UF,3.55,4.119
Lower V LFR,373.9,373.6894
Lower V LFR,-0.45,-0.4458
Lower V UFR,373.9,373.7379
Lower V UFR,3.55,3.8059
Upper V LFL,10.3,10.361
Upper V LFL,9.55,9.8335
Upper V UFL,10.3,10.3586
Upper V UFL,13.55,14.0621
Upper V LFR,373.9,373.7328
Upper V LFR,9.55,9.6937
Upper V UFR,373.9,373.857
Upper V UFR,13.55,13.7417
