LL notch,0,0.0143
LL notch,0,0.0355
UL notch,-0.4,0.3935
UL notch,13.11,13.0018
UR notch,383.377,384.3742
UR notch,13.11,13.0785
LR notch,383.777,383.9171
LR notch,0,-0.0067
Lower V LL,10.3,10.7637
Lower V LL,-2.45,-2.4565
Lower V UL,10.3,10.6137
Lower V UL,5.55,5.4607
Lower V LR,373.9,374.0292
Lower V LR,-2.45,-2.427
Lower V UR,373.9,374.059
Lower V UR,5.55,5.737
Upper V LL,10.3,10.7472
Upper V LL,7.55,7.6184
Upper V UL,10.3,10.7654
Upper V UL,15.55,15.6046
Upper V LR,373.9,374.1897
Upper V LR,7.55,7.5981
Upper V UR,373.9,374.1662
Upper V UR,15.5,15.6358
UR tap,386.927,387.1428
UR tap,13.11,13.0076
LR tap,386.927,387.2917
LR tap,0,0.0924
LL tap,-3.55,-3.1254
LL tap,0,0.0587
UL tap,-3.55,-3.1744
UL tap,13.11,12.8848
Lower V LF,10.3,10.736
Lower V LF,-0.45,-0.2477
Lower V UF,10.3,10.7413
Lower V UF,3.55,3.4973
Lower V LFR,373.9,374.0015
Lower V LFR,-0.45,-0.3594
Lower V UFR,373.9,374.1552
Lower V UFR,3.55,3.7476
Upper V LFL,10.3,10.7153
Upper V LFL,9.55,9.8166
Upper V UFL,10.3,10.8044
Upper V UFL,13.55,13.5469
Upper V LFR,373.9,374.0051
Upper V LFR,9.55,9.6807
Upper V UFR,373.9,374.1058
Upper V UFR,13.55,13.5705
