LL notch,0,0.0137
LL notch,0,0.0349
UL notch,-0.4,0.3968
UL notch,13.11,13.1754
UR notch,383.377,384.3307
UR notch,13.11,13.1722
LR notch,383.777,383.905
LR notch,0,0.0041
Lower V LL,10.3,10.1792
Lower V LL,-2.45,-1.934
Lower V UL,10.3,10.1184
Lower V UL,5.55,6.0622
Lower V LR,373.9,373.5824
Lower V LR,-2.45,-2.2486
Lower V UR,373.9,373.5631
Lower V UR,5.55,5.7238
Upper V LL,10.3,10.2504
Upper V LL,7.55,8.1698
Upper V UL,10.3,10.2506
Upper V UL,15.55,15.9582
Upper V LR,373.9,373.6144
Upper V LR,7.55,7.7931
Upper V UR,373.9,373.6338
Upper V UR,15.5,15.7226
UR tap,386.927,387.3407
UR tap,13.11,13.0586
LR tap,386.927,387.3329
LR tap,0,0.1375
LL tap,-3.55,-2.9934
LL tap,0,0.1142
UL tap,-3.55,-3.0371
UL tap,13.11,13.1099
Lower V LF,10.3,10.2029
Lower V LF,-0.45,0.027
Lower V UF,10.3,10.1988
Lower V UF,3.55,4.2096
Lower V LFR,373.9,373.6421
Lower V LFR,-0.45,-0.495
Lower V UFR,373.9,373.5521
Lower V UFR,3.55,3.9006
Upper V LFL,10.3,10.3403
Upper V LFL,9.55,9.9846
Upper V UFL,10.3,10.288
Upper V UFL,13.55,14.1817
Upper V LFR,373.9,373.6351
Upper V LFR,9.55,9.5203
Upper V UFR,373.9,373.6532
Upper V UFR,13.55,13.819
