L4 endpiece,380.242,376.857
L4 endpiece,0,-0.001
L1 endpiece,380.33,376.84
L1 endpiece,64.989,64.957
L1 endpiece DS,0.251,0.251
L1 endpiece DS,64.938,64.939
L4 endpiece DS,-0.02,-2.652
L4 endpiece DS,-0.006,-1.107
L4 DS B,13.199,10.495
L4 DS B,-0.766,-1.28
L4 DS T,13.09,10.297
L4 DS T,12.424,11.897
L3 DS B,13.598,10.224
L3 DS B,17.766,16.879
L3 DS T,13.554,10.08
L3 DS T,31.689,30.744
L2 DS B,13.542,10.118
L2 DS B,37.284,36.035
L2 DS T,13.488,9.992
L2 DS T,51.228,49.919
L1 DS B,13.447,10.166
L1 DS B,56.352,54.794
L1 DS T,13.494,10.037
L1 DS T,69.515,67.898
L1 US T,367.019,363.749
L1 US T,69.355,69.102
L1 US B,367.079,363.815
L1 US B,56.113,55.817
L2 US T,367.063,363.869
L2 US T,50.931,50.924
L2 US B,367.084,363.999
L2 US B,36.931,36.931
L3 US T,367.162,363.938
L3 US T,31.847,31.846
L3 US B,367.172,364.053
L3 US B,17.769,17.992
L4 US T,366.673,364.118
L4 US T,12.521,12.761
L1 US B,366.585,361.532
L1 US B,-0.819,-0.817
