00.886423,1466.06347
00.886679,1463.70217
00.886935,1460.91994
00.887191,1457.8726
00.887447,1454.60161
00.887703,1451.17768
00.887959,1447.78296
00.888215,1444.63131
00.888471,1441.66442
00.888726,1439.20013
00.888983,1437.26465
00.889239,1436.02249
00.889495,1435.54493
00.889750,1435.61765
00.890007,1436.36533
00.890263,1437.68248
00.890519,1439.53034
00.890775,1441.87447
00.891031,1444.83635
00.891287,1448.06441
00.891543,1451.59742
00.891798,1455.26442
00.892055,1458.68048
00.892311,1462.01369
00.892567,1465.04745
00.892823,1467.74515
00.893079,1470.00429
00.893335,1471.61445
00.893591,1472.49648
00.893847,1472.82359
00.894103,1472.70354
00.894359,1472.27737
00.894614,1471.69396
00.894871,1471.21605
00.895127,1470.94831
00.895383,1470.98514
00.895639,1471.54721
00.895895,1472.38657
00.896151,1473.70824
00.896406,1475.46157
00.896663,1477.42483
00.896919,1479.84943
00.897175,1482.44223
00.897431,1485.24794
00.897686,1488.18406
00.897943,1491.10767
00.898199,1494.18721
00.898455,1497.09138
00.898711,1499.82616
00.898967,1502.52458
00.899223,1504.55353
00.899478,1506.18741
00.899735,1507.26196
00.899991,1507.3075
00.900247,1506.82589
00.900503,1505.80892
00.900759,1504.06727
00.901015,1501.96132
00.901270,1499.43528
00.901527,1496.41308
00.901783,1493.45395
00.902039,1490.522
00.902295,1487.90356
00.902550,1485.48886
00.902807,1483.32521
00.903063,1481.33883
00.903319,1479.46533
00.903575,1477.8907
00.903831,1476.6427
00.904087,1475.56421
00.904342,1474.60434
00.904599,1473.73864
00.904855,1472.82943
00.905111,1471.99794
00.905367,1471.00541
00.905622,1469.89688
00.905879,1468.46065
00.906135,1466.76191
00.906391,1464.81463
00.906647,1462.5003
00.906903,1459.95316
00.907159,1456.94849
00.907414,1453.72101
00.907671,1450.30126
00.907927,1446.8089
00.908183,1443.55186
00.908439,1440.49844
00.908695,1437.90349
00.908951,1435.91627
00.909207,1434.49267
00.909463,1433.81258
00.909719,1433.71841
00.909975,1434.22493
00.910231,1435.42811
00.910486,1437.17607
00.910743,1439.55359
00.910999,1442.39184
00.911255,1445.68154
00.911511,1449.0802
00.911767,1452.65385
00.912023,1456.27317
00.912279,1459.6698
00.912535,1462.94734
00.912791,1465.87834
00.913047,1468.32368
00.913303,1469.99094
00.913558,1471.17576
00.913815,1471.66857
00.914071,1471.63781
00.914327,1471.44887
00.914582,1470.94604
00.914839,1470.38898
00.915095,1470.07236
00.915351,1470.01514
00.915607,1470.48124
00.915863,1471.4348
00.916119,1472.63035
00.916374,1474.28474
00.916631,1476.31308
00.916887,1478.63755
00.917143,1481.3678
00.917399,1484.25302
00.917655,1487.07172
00.917911,1490.01869
00.918166,1493.11516
00.918423,1496.12555
00.918679,1499.04522
00.918935,1501.80766
00.919191,1504.0383
00.919446,1505.86185
00.919703,1507.09984
00.919959,1507.57095
00.920215,1507.22918
00.920471,1506.28981
00.920727,1504.79981
00.920983,1502.77576
00.921238,1500.4091
00.921495,1497.75156
00.921751,1494.89555
00.922007,1492.00734
00.922263,1489.33312
00.922518,1486.68191
00.922775,1484.45496
00.923031,1482.47155
00.923287,1480.84804
00.923543,1479.46641
00.923799,1478.1104
00.924055,1477.03251
00.924310,1475.94413
00.924567,1475.06258
00.924823,1474.38511
00.925079,1473.52275
00.925335,1472.59673
00.925591,1471.49655
00.925847,1470.09131
00.926103,1468.6279
00.926359,1466.84739
00.926615,1464.61126
00.926871,1461.95254
00.927127,1459.03024
00.927382,1455.75115
00.927639,1452.48887
00.927895,1449.13181
00.928151,1445.70908
00.928407,1442.68295
00.928663,1439.97106
00.928919,1437.78166
00.929175,1436.35663
00.929431,1435.38329
00.929687,1435.16561
00.929943,1435.70897
00.930199,1436.58742
00.930454,1438.27852
00.930711,1440.45385
00.930967,1443.15621
00.931223,1446.3571
00.931479,1449.60674
00.931735,1453.18183
00.931991,1456.82117
00.932247,1460.24975
00.932503,1463.65592
00.932759,1466.64485
00.933015,1468.87049
00.933271,1470.81718
00.933527,1472.14338
00.933783,1472.7734
00.934039,1473.01051
00.934295,1472.8373
00.934551,1472.42519
00.934807,1471.83415
00.935063,1471.51956
00.935319,1471.36101
00.935575,1471.56319
00.935831,1472.25174
00.936087,1473.30543
00.936342,1474.88126
00.936599,1476.72829
00.936855,1478.94499
00.937111,1481.37018
00.937367,1484.06765
00.937623,1486.98613
00.937879,1490.03074
00.938134,1493.2135
00.938391,1496.28183
00.938647,1499.17457
00.938903,1501.89099
00.939159,1504.17027
00.939415,1505.98809
00.939671,1507.3534
00.939927,1507.94753
00.940183,1507.92489
00.940439,1507.1213
00.940695,1505.76934
00.940951,1503.80549
00.941206,1501.40032
00.941463,1498.64635
00.941719,1495.64037
00.941975,1492.72737
00.942231,1489.89376
00.942487,1487.38953
00.942743,1485.03062
00.942999,1482.98582
00.943255,1481.1531
00.943511,1479.45186
00.943767,1477.99596
00.944023,1476.72936
00.944278,1475.76973
00.944535,1474.89807
00.944791,1474.13596
00.945047,1473.23653
00.945303,1472.23374
00.945559,1471.10972
00.945815,1469.77827
00.946071,1468.31164
00.946327,1466.38426
00.946583,1464.27259
00.946839,1461.7885
00.947095,1459.03238
00.947351,1455.98241
00.947607,1452.61356
00.947863,1449.11954
00.948119,1445.58188
00.948375,1442.41342
00.948631,1439.54906
00.948887,1437.36502
00.949143,1435.65663
00.949399,1434.51199
00.949655,1434.05577
00.949911,1434.0274
00.950167,1434.78939
00.950423,1436.21298
00.950679,1438.30379
00.950935,1440.99733
00.951191,1444.06888
